"name","product_type","price"
"BRUNELLO CUCINELLI","Formal dress","&#xA3; 639.00"
"MOSCHINO CHEAPANDCHIC","Formal dress","&#xA3; 299.00"
"BRUNELLO CUCINELLI","Formal dress","&#xA3; 678.00"
"MOSCHINO CHEAPANDCHIC","Formal dress","&#xA3; 290.00"
"MAISON MARGIELA 4","Formal dress","&#xA3; 488.00"
"MOSCHINO CHEAPANDCHIC","Formal dress","&#xA3; 424.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 416.00"
"BRUNELLO CUCINELLI","Formal dress","&#xA3; 828.00"
"DIANE VON FURSTENBERG","Formal dress","&#xA3; 794.00"
"JIL SANDER","Formal dress","&#xA3; 564.00"
"DIANE VON FURSTENBERG","Formal dress","&#xA3; 252.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 360.00"
"BLUGIRL BLUMARINE","Formal dress","&#xA3; 362.00"
"MARNI","Formal dress","&#xA3; 482.00"
"MATTHEW WILLIAMSON","3/4 length dress","&#xA3; 554.00"
"ROCHAS","Formal dress","&#xA3; 915.00"
"EMILIO PUCCI","Formal dress","&#xA3; 1,030.00"
"L&apos; AUTRE CHOSE","Formal dress","&#xA3; 175.00"
"VERSACE COLLECTION","Formal dress","&#xA3; 526.00"
"DIANE VON FURSTENBERG","Formal dress","&#xA3; 454.00"
"DIANE VON FURSTENBERG","Formal dress","&#xA3; 488.00"
"EMILIO PUCCI","Formal dress","&#xA3; 788.00"
"MAISON MARGIELA 4","Formal dress","&#xA3; 345.00"
"SEE BY CHLO&#xC9;","Formal dress","&#xA3; 146.00"
"CLASS ROBERTO CAVALLI","Formal dress","&#xA3; 362.00"
"ACNE STUDIOS","Formal dress","&#xA3; 60.00"
"MARNI","Formal dress","&#xA3; 499.00"
"BLUMARINE","Formal dress","&#xA3; 699.00"
"CLASS ROBERTO CAVALLI","Formal dress","&#xA3; 309.00"
"MARNI","Formal dress","&#xA3; 609.00"
"EMILIO PUCCI","Formal dress","&#xA3; 1,133.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 2,123.00"
"BRUNELLO CUCINELLI","Formal dress","&#xA3; 1,045.00"
"ERDEM","Formal dress","&#xA3; 2,125.00"
"SALVATORE FERRAGAMO","Formal dress","&#xA3; 1,332.00"
"DIOR","Formal dress","&#xA3; 1,360.00"
"ESCADA","Formal dress","&#xA3; 608.00"
"ESCADA","Formal dress","&#xA3; 608.00"
"GIAMBATTISTA VALLI","Formal dress","&#xA3; 1,316.00"
"MAISON MARGIELA 1","Formal dress","&#xA3; 414.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 1,013.00"
"CLASS ROBERTO CAVALLI","Formal dress","&#xA3; 375.00"
"BALENCIAGA","Formal dress","&#xA3; 601.00"
"BLUMARINE","Formal dress","&#xA3; 389.00"
"MIU MIU","3/4 length dress","&#xA3; 735.00"
"DOLCE &amp; GABBANA","Formal dress","&#xA3; 1,708.00"
"MARNI","Formal dress","&#xA3; 477.00"
"MICHAEL KORS","Formal dress","&#xA3; 853.00"
"BLUGIRL BLUMARINE","Formal dress","&#xA3; 249.00"
"VANESSA BRUNO","Formal dress","&#xA3; 417.00"
"ALEXANDER WANG","Formal dress","&#xA3; 431.00"
"CLASS ROBERTO CAVALLI","Formal dress","&#xA3; 252.00"
"MOSCHINO CHEAPANDCHIC","Formal dress","&#xA3; 406.00"
"BRUNELLO CUCINELLI","Formal dress","&#xA3; 465.00"
"MSGM","Formal dress","&#xA3; 345.00"
"MAISON MARGIELA 1","Formal dress","&#xA3; 383.00"
"EMILIO PUCCI","Formal dress","&#xA3; 1,695.00"
"MSGM","Formal dress","&#xA3; 336.00"
"CARVEN","Formal dress","&#xA3; 274.00"
"AQUILANO-RIMONDI","Formal dress","&#xA3; 310.00"
"MARNI","Formal dress","&#xA3; 698.00"
"MARNI","Formal dress","&#xA3; 576.00"
"MARNI","Formal dress","&#xA3; 573.00"
"DOLCE &amp; GABBANA","Formal dress","&#xA3; 967.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 1,294.00"
"MARNI","3/4 length dress","&#xA3; 488.00"
"MARNI","Formal dress","&#xA3; 488.00"
"GIORGIO ARMANI","3/4 length dress","&#xA3; 1,648.00"
"VERSACE COLLECTION","Formal dress","&#xA3; 779.00"
"DSQUARED2","Formal dress","&#xA3; 429.00"
"LANVIN","Formal dress","&#xA3; 2,426.00"
"VERSACE","Formal dress","&#xA3; 992.00"
"BLUMARINE","Formal dress","&#xA3; 789.00"
"ANN DEMEULEMEESTER","Formal dress","&#xA3; 741.00"
"ERMANNO SCERVINO","Formal dress","&#xA3; 720.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 1,294.00"
"GUCCI","Formal dress","&#xA3; 756.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 1,517.00"
"ROCHAS","3/4 length dress","&#xA3; 1,187.00"
"GIAMBATTISTA VALLI","Formal dress","&#xA3; 1,761.00"
"VERSACE","Formal dress","&#xA3; 1,106.00"
"VALENTINO ROMA","Formal dress","&#xA3; 859.00"
"GIAMBATTISTA VALLI","Formal dress","&#xA3; 2,500.00"
"ROBERTO CAVALLI","Formal dress","&#xA3; 609.00"
"EMILIO PUCCI","Formal dress","&#xA3; 1,260.00"
"GIORGIO ARMANI","Formal dress","&#xA3; 892.00"
"RALPH LAUREN BLACK LABEL","3/4 length dress","&#xA3; 957.00"
"RALPH LAUREN BLACK LABEL","Formal dress","&#xA3; 856.00"
"VALENTINO","Formal dress","&#xA3; 1,119.00"
"ETRO","Formal dress","&#xA3; 539.00"
"FRANCESCO SCOGNAMIGLIO","Formal dress","&#xA3; 1,137.00"
"FRANCESCO SCOGNAMIGLIO","Formal dress","&#xA3; 1,137.00"
"VERSACE COLLECTION","Formal dress","&#xA3; 602.00"
"GUCCI","Formal dress","&#xA3; 1,073.00"
"MARNI","Formal dress","&#xA3; 582.00"
"DIANE VON FURSTENBERG","Formal dress","&#xA3; 496.00"
"EMILIO PUCCI","Formal dress","&#xA3; 730.00"
"DOLCE &amp; GABBANA","Formal dress","&#xA3; 788.00"
"MARNI","Formal dress","&#xA3; 427.00"
"MARY KATRANTZOU","Formal dress","&#xA3; 633.00"
"MARNI","Formal dress","&#xA3; 449.00"
"ALBERTA FERRETTI","Formal dress","&#xA3; 569.00"
"GUCCI","Formal dress","&#xA3; 898.00"
"BLUGIRL BLUMARINE","Formal dress","&#xA3; 325.00"
"JIL SANDER","Formal dress","&#xA3; 915.00"
"FENDI","Formal dress","&#xA3; 399.00"
"DOLCE &amp; GABBANA","Formal dress","&#xA3; 788.00"
"EMILIO PUCCI","Formal dress","&#xA3; 1,041.00"
"BURBERRY LONDON","Formal dress","&#xA3; 665.00"
"CLASS ROBERTO CAVALLI","Formal dress","&#xA3; 323.00"
"BLUGIRL BLUMARINE","Formal dress","&#xA3; 325.00"
"MARNI","Formal dress","&#xA3; 333.00"
"GIORGIO ARMANI","Formal dress","&#xA3; 776.00"
"GIVENCHY","Formal dress","&#xA3; 955.00"
"MARC JACOBS","3/4 length dress","&#xA3; 714.00"
"VIONNET","3/4 length dress","&#xA3; 970.00"
"BLUMARINE","Formal dress","&#xA3; 699.00"
"ROCHAS","Formal dress","&#xA3; 743.00"
"JIL SANDER","Formal dress","&#xA3; 753.00"
"MARC JACOBS","Formal dress","&#xA3; 668.00"